sku,match_name,youtube_id,timestamp_seconds,division_id
RE-V5RC-25-0011,Q63,dqiXLjV04TY,17462,1
RE-V5RC-25-0011,Q64,dqiXLjV04TY,18046,1
RE-V5RC-25-0011,Q65,dqiXLjV04TY,18226,1
RE-V5RC-25-0011,Q67,dqiXLjV04TY,18635,1
RE-V5RC-25-0011,Q68,dqiXLjV04TY,18794,1
RE-V5RC-25-0011,Q69,dqiXLjV04TY,18968,1
RE-V5RC-25-0011,Q71,dqiXLjV04TY,19463,1
RE-V5RC-25-0011,Q72,dqiXLjV04TY,21417,1
RE-V5RC-25-0011,Q73,dqiXLjV04TY,20049,1
RE-V5RC-25-0011,Q74,dqiXLjV04TY,20256,1
RE-V5RC-25-0011,Q75,dqiXLjV04TY,20430,1
RE-V5RC-25-0011,Q77,dqiXLjV04TY,20860,1
RE-V5RC-25-0011,Q78,4SnwGC71bns,0,1
RE-V5RC-25-0011,Q79,4SnwGC71bns,70,1
RE-V5RC-25-0011,Q80,4SnwGC71bns,254,1
RE-V5RC-25-0011,Q81,4SnwGC71bns,425,1
RE-V5RC-25-0011,Q83,4SnwGC71bns,1063,1
RE-V5RC-25-0011,Q84,4SnwGC71bns,1225,1
RE-V5RC-25-0011,Q86,4SnwGC71bns,1615,1
RE-V5RC-25-0011,Q87,4SnwGC71bns,1782,1
RE-V5RC-25-0011,Q88,4SnwGC71bns,1987,1
RE-V5RC-25-0011,Q90,4SnwGC71bns,2359,1
RE-V5RC-25-0011,Q92,4SnwGC71bns,2917,1
RE-V5RC-25-0011,Q94,4SnwGC71bns,3263,1
RE-V5RC-25-0011,Q95,4SnwGC71bns,3563,1
RE-V5RC-25-0011,Q96,4SnwGC71bns,3772,1
RE-V5RC-25-0011,Q97,4SnwGC71bns,3954,1
RE-V5RC-25-0011,Q99,4SnwGC71bns,4307,1
RE-V5RC-25-0011,Q100,4SnwGC71bns,4536,1
RE-V5RC-25-0011,Q101,4SnwGC71bns,4732,1
RE-V5RC-25-0011,Q102,4SnwGC71bns,4958,1
RE-V5RC-25-0011,Q103,4SnwGC71bns,5126,1
RE-V5RC-25-0011,Q104,4SnwGC71bns,5325,1
RE-V5RC-25-0011,Q105,4SnwGC71bns,5554,1
RE-V5RC-25-0011,Q106,4SnwGC71bns,5765,1
RE-V5RC-25-0011,Q107,4SnwGC71bns,5964,1
RE-V5RC-25-0011,Q108,4SnwGC71bns,6128,1
RE-V5RC-25-0011,Q111,4SnwGC71bns,6774,1
RE-V5RC-25-0011,Q112,4SnwGC71bns,6943,1
RE-V5RC-25-0011,Q113,4SnwGC71bns,7457,1
RE-V5RC-25-0011,Q114,4SnwGC71bns,7805,1
RE-V5RC-25-0011,Q115,4SnwGC71bns,8015,1
RE-V5RC-25-0011,QF2-1,4SnwGC71bns,19817,1
RE-V5RC-25-0011,QF3-1,4SnwGC71bns,20319,1
RE-V5RC-25-0011,R161-1,4SnwGC71bns,16481,1
RE-V5RC-25-0011,R163-1,4SnwGC71bns,17197,1
RE-V5RC-25-0011,R164-1,4SnwGC71bns,17513,1
RE-V5RC-25-0011,R165-1,4SnwGC71bns,17701,1
RE-V5RC-25-0011,R166-1,4SnwGC71bns,19267,1
RE-V5RC-25-0011,R168-1,4SnwGC71bns,18813,1
RE-V5RC-25-0011,P1,PsN2SkPObkQ,583,2
RE-V5RC-25-0011,P2,PsN2SkPObkQ,754,2
RE-V5RC-25-0011,P4,PsN2SkPObkQ,1195,2
RE-V5RC-25-0011,P6,PsN2SkPObkQ,1530,2
RE-V5RC-25-0011,P8,PsN2SkPObkQ,1876,2
RE-V5RC-25-0011,P9,PsN2SkPObkQ,2357,2
RE-V5RC-25-0011,P10,PsN2SkPObkQ,2531,2
RE-V5RC-25-0011,P11,PsN2SkPObkQ,2706,2
RE-V5RC-25-0011,P12,PsN2SkPObkQ,2862,2
RE-V5RC-25-0011,Q1,PsN2SkPObkQ,3947,2
RE-V5RC-25-0011,Q2,PsN2SkPObkQ,4120,2
RE-V5RC-25-0011,Q3,PsN2SkPObkQ,4296,2
RE-V5RC-25-0011,Q4,PsN2SkPObkQ,4503,2
RE-V5RC-25-0011,Q5,PsN2SkPObkQ,4654,2
RE-V5RC-25-0011,Q6,PsN2SkPObkQ,4826,2
RE-V5RC-25-0011,Q8,PsN2SkPObkQ,5165,2
RE-V5RC-25-0011,Q10,PsN2SkPObkQ,5513,2
RE-V5RC-25-0011,Q11,PsN2SkPObkQ,5669,2
RE-V5RC-25-0011,Q14,PsN2SkPObkQ,6537,2
RE-V5RC-25-0011,Q16,PsN2SkPObkQ,6859,2
RE-V5RC-25-0011,Q17,PsN2SkPObkQ,7527,2
RE-V5RC-25-0011,Q18,PsN2SkPObkQ,7692,2
RE-V5RC-25-0011,Q19,PsN2SkPObkQ,7934,2
RE-V5RC-25-0011,Q20,PsN2SkPObkQ,8101,2
RE-V5RC-25-0011,Q21,PsN2SkPObkQ,8253,2
RE-V5RC-25-0011,Q22,PsN2SkPObkQ,8494,2
RE-V5RC-25-0011,Q23,PsN2SkPObkQ,8651,2
RE-V5RC-25-0011,Q25,PsN2SkPObkQ,9057,2
RE-V5RC-25-0011,Q26,PsN2SkPObkQ,9323,2
RE-V5RC-25-0011,Q28,PsN2SkPObkQ,9647,2
RE-V5RC-25-0011,Q29,PsN2SkPObkQ,9855,2
RE-V5RC-25-0011,Q30,PsN2SkPObkQ,10108,2
RE-V5RC-25-0011,Q31,PsN2SkPObkQ,10281,2
RE-V5RC-25-0011,Q33,PsN2SkPObkQ,10693,2
RE-V5RC-25-0011,Q34,PsN2SkPObkQ,10873,2
RE-V5RC-25-0011,Q35,PsN2SkPObkQ,11116,2
RE-V5RC-25-0011,Q36,PsN2SkPObkQ,11270,2
RE-V5RC-25-0011,Q37,PsN2SkPObkQ,11556,2
RE-V5RC-25-0011,Q38,PsN2SkPObkQ,11711,2
RE-V5RC-25-0011,Q40,PsN2SkPObkQ,12016,2
RE-V5RC-25-0011,Q41,PsN2SkPObkQ,12209,2
RE-V5RC-25-0011,Q43,PsN2SkPObkQ,12580,2
RE-V5RC-25-0011,Q44,PsN2SkPObkQ,12736,2
RE-V5RC-25-0011,Q45,PsN2SkPObkQ,12902,2
RE-V5RC-25-0011,Q46,PsN2SkPObkQ,13071,2
RE-V5RC-25-0011,Q47,PsN2SkPObkQ,13237,2
RE-V5RC-25-0011,Q49,PsN2SkPObkQ,13584,2
RE-V5RC-25-0011,Q51,PsN2SkPObkQ,13899,2
RE-V5RC-25-0011,Q52,PsN2SkPObkQ,14666,2
RE-V5RC-25-0011,Q53,PsN2SkPObkQ,14892,2
RE-V5RC-25-0011,Q54,PsN2SkPObkQ,15075,2
RE-V5RC-25-0011,Q55,PsN2SkPObkQ,15260,2
RE-V5RC-25-0011,Q57,PsN2SkPObkQ,15646,2
RE-V5RC-25-0011,Q58,PsN2SkPObkQ,15934,2
RE-V5RC-25-0011,Q59,PsN2SkPObkQ,16123,2
RE-V5RC-25-0011,Q61,PsN2SkPObkQ,16547,2
RE-V5RC-25-0011,Q62,PsN2SkPObkQ,16699,2
RE-V5RC-25-0011,Q63,PsN2SkPObkQ,16878,2
RE-V5RC-25-0011,Q64,PsN2SkPObkQ,17033,2
RE-V5RC-25-0011,Q67,PsN2SkPObkQ,17579,2
RE-V5RC-25-0011,Q68,PsN2SkPObkQ,17730,2
RE-V5RC-25-0011,Q70,PsN2SkPObkQ,18084,2
RE-V5RC-25-0011,Q71,PsN2SkPObkQ,18368,2
RE-V5RC-25-0011,Q72,PsN2SkPObkQ,18647,2
RE-V5RC-25-0011,Q73,PsN2SkPObkQ,18803,2
RE-V5RC-25-0011,Q74,PsN2SkPObkQ,18961,2
RE-V5RC-25-0011,Q76,PsN2SkPObkQ,19361,2
RE-V5RC-25-0011,Q77,PsN2SkPObkQ,19640,2
RE-V5RC-25-0010,P1,agB71m6kfJw,0,1
RE-V5RC-25-0010,P3,agB71m6kfJw,0,1
RE-V5RC-25-0010,P4,agB71m6kfJw,22,1
RE-V5RC-25-0010,P5,agB71m6kfJw,342,1
RE-V5RC-25-0010,P6,agB71m6kfJw,542,1
RE-V5RC-25-0010,P7,agB71m6kfJw,1238,1
RE-V5RC-25-0010,P8,agB71m6kfJw,1489,1
RE-V5RC-25-0010,Q1,agB71m6kfJw,3289,1
RE-V5RC-25-0010,Q3,agB71m6kfJw,3636,1
RE-V5RC-25-0010,Q4,agB71m6kfJw,3895,1
RE-V5RC-25-0010,Q5,agB71m6kfJw,4088,1
RE-V5RC-25-0010,Q6,agB71m6kfJw,4279,1
RE-V5RC-25-0010,Q7,agB71m6kfJw,4475,1
RE-V5RC-25-0010,Q8,agB71m6kfJw,4694,1
RE-V5RC-25-0010,Q9,agB71m6kfJw,4938,1
RE-V5RC-25-0010,Q11,agB71m6kfJw,5398,1
RE-V5RC-25-0010,Q12,agB71m6kfJw,5670,1
RE-V5RC-25-0010,Q13,agB71m6kfJw,5914,1
RE-V5RC-25-0010,Q14,agB71m6kfJw,6177,1
RE-V5RC-25-0010,Q15,agB71m6kfJw,6342,1
